LL160,SRR029340.bam SRR029341.bam SRR029342.bam SRR029344.bam SRR029346.bam,LL160.bam
LL314,SRR029343.bam SRR029345.bam SRR029347.bam SRR029349.bam,LL314.bam
AK52,SRR179716.bam SRR179717.bam SRR179718.bam,AK52.bam
AK58,SRR179719.bam SRR179720.bam SRR179721.bam,AK58.bam
AK53,SRR179725.bam SRR179726.bam SRR179727.bam,AK53.bam
AK59,SRR179728.bam SRR179729.bam SRR179730.bam,AK59.bam
AK51,SRR179735.bam SRR179736.bam SRR179737.bam,AK51.bam
LL311,SRR029339.bam SRR029615.bam SRR029619.bam,LL311.bam
SK300,SRR179741.bam SRR179742.bam SRR179743.bam,SK300.bam
SK302,SRR305027.bam SRR305028.bam SRR305029.bam,SK302.bam
SK303,SRR305030.bam SRR305031.bam SRR305032.bam,SK303.bam
YL328,SRR097974.bam SRR097975.bam SRR097976.bam,YL328.bam
LL313,SRR029348.bam SRR029350.bam,LL313.bam
AY830,SRR933992.bam SRR933993.bam,AY830.bam
LL312,SRR029609.bam SRR029620.bam,LL312.bam
AK54,SRR353343.bam SRR353344.bam,AK54.bam
LL-H1-I2,SRR067971.bam SRR067972.bam,LL-H1-I2.bam
AK57,SRR179764.bam SRR179765.bam,AK57.bam
